"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514757216.0754604","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757207.0484536","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757208.0517654","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757209.0550413","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757210.0583885","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757211.061701","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757212.064952","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757213.0674653","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757214.0698845","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
"1514757215.0725348","39.782634363","-84.083092233","303.74","3.428","2.215","7.663"
