test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1-3,01,20,0.183296,1514760565.798408,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-59,1,0.0,353.70780858067513,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.2589254117941661e-06
capture-1-3,01,20,0.183296,1514760565.910544,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-59,1,1.3872906720375924,355.09509925271277,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.2589254117941661e-06
capture-1-3,01,20,0.183296,1514760566.155211,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-53,3,5.6868765716258105,359.39468515230095,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1-3,01,20,0.183296,1514760566.257597,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-51,3,7.486127376089784,1.1939359567649417,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,7.943282347242822e-06
capture-1-3,01,20,0.183296,1514760566.628632,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,14.006405685028877,7.714214265704035,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.9952623149688786e-05
capture-1-3,01,20,0.183296,1514760566.730996,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,15.805266839939678,9.513075420614836,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.9952623149688786e-05
capture-1-3,01,20,0.183296,1514760566.962981,1c:7e:e5:30:54:3e,RESEARCH_MULLINS_10,WPA,CCMP+TKIP,,-73,10,19.881989954233983,13.589798534909141,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,5.011872336272725e-08
capture-1-3,01,20,0.183296,1514760567.052149,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-59,9,21.448959347645648,15.156767928320805,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.2589254117941661e-06
capture-1-3,01,20,0.183296,1514760567.874053,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-55,4,35.8924512766103,29.600259857285458,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,3.162277660168379e-06
capture-1-3,01,20,0.183296,1514760567.997986,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-47,6,38.070353461374644,31.7781620420498,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.9952623149688786e-05
capture-1-3,01,20,0.183296,1514760568.296583,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-49,8,43.31765924944069,37.02546783011584,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.2589254117941661e-05
capture-1-3,01,20,0.183296,1514760568.398983,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,45.11715725093302,38.824965831608175,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.9952623149688786e-05
capture-1-3,01,20,0.183296,1514760568.870421,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-65,1,53.40183577311795,47.10964435379311,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,3.162277660168379e-07
capture-1-3,01,20,0.183296,1514760569.124848,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-47,3,57.8729345125842,51.58074309325936,39.782615977999995,-84.08309463999997,304.62899999999996,0.0,0.0,0.0,1.9952623149688786e-05
