test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-3,15,20,0.183296,1515805447.890866,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-55,3,6.396477361428995,0.10241015269330589,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,3.162277660168379e-06
capture-3,15,20,0.183296,1515805447.993299,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-53,3,8.196678170543189,1.9026109618074996,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,5.011872336272725e-06
capture-3,15,20,0.183296,1515805450.860514,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-51,3,58.586340848360024,52.292273639624334,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,7.943282347242822e-06
capture-3,15,20,0.183296,1515805450.962872,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-53,3,60.385225975432334,54.091158766696644,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,5.011872336272725e-06
capture-3,15,20,0.183296,1515805456.799776,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,162.96547702232428,156.67140981358858,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,1.2589254117941661e-06
capture-3,15,20,0.183296,1515805456.902156,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-57,3,164.76474763585472,158.47068042711902,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,1.9952623149688787e-06
capture-3,15,20,0.183296,1515805459.769434,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-53,3,215.1555164922036,208.8614492834679,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,5.011872336272725e-06
capture-3,15,20,0.183296,1515805459.871799,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-57,3,216.95452313131165,210.66045592257595,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,1.9952623149688787e-06
capture-3,15,20,0.183296,1515805461.407833,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,243.94944424247402,237.65537703373832,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,1.2589254117941661e-06
capture-3,15,20,0.183296,1515805461.510208,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-55,3,245.7486226744601,239.4545554657244,39.782563102599994,-84.08278164345002,300.73979999999995,0.0,0.0,0.0,3.162277660168379e-06
