"test","pass","duration","hop-rate","timestamp","bssid","ssi","channel","bearing","lat","lon","alt","lat_err","lon_error","alt_error"
"discovery-hop-0.10138","28","10","0.10138","1512146065.860286","00:18:e7:e9:04:59","-67","2412","0.0","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146066.050545","00:12:17:9f:79:b6","-59","2422","3.054821765177801","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146067.07882","60:38:e0:06:34:ac","-53","2447","40.07527393381459","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146067.216765","60:38:e0:06:3a:f0","-59","2452","45.0416339722589","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146067.948279","00:18:e7:e9:07:f5","-65","2417","71.37795242453717","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146068.457593","60:38:e0:06:2d:9c","-69","2432","89.71452247344186","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146069.014625","60:38:e0:06:34:e8","-51","2447","109.76906066785791","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146069.731466","00:18:e7:e9:04:59","-51","2412","135.57711490247686","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146069.941319","00:18:e7:e9:04:59","-53","2417","143.1323412799511","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146070.301283","00:16:b6:58:f3:0d","-63","2427","156.09193472345555","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146070.857826","60:38:e0:06:34:e8","-45","2442","176.12886783020252","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146071.072432","60:38:e0:06:34:ac","-53","2447","183.85521806324533","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146072.089278","00:12:17:9f:79:b6","-49","2422","220.46419529887697","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146072.803397","60:38:e0:06:34:e8","-53","2442","246.17424988165874","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146073.018034","60:38:e0:06:34:ac","-51","2447","253.90171599056552","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146073.155987","60:38:e0:06:3a:f0","-67","2452","258.8683678734665","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146073.258406","60:38:e0:06:3a:f0","-65","2452","262.55570241297903","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146073.887488","00:18:e7:e9:07:f5","-63","2417","285.2042142244178","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146074.136516","00:12:17:9f:79:b6","-61","2422","294.1698476083144","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146074.851431","60:38:e0:06:34:e8","-61","2442","319.9085544498185","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146075.06606","60:38:e0:06:34:ac","-45","2447","327.635737297929","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146075.578","60:38:e0:06:34:ac","-51","2462","346.0668477834926","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
"discovery-hop-0.10138","28","10","0.10138","1512146076.244762","00:18:e7:e9:07:f5","-59","2417","370.07192988274795","39.7826302039","-84.0830329751","302.7319","0.0","0.0","0.0"
