"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514576416.1807485","39.782620524","-84.08300416","308.711","2.594","2.727","7.724"
"1514576407.153081","39.782626257","-84.082980938","309.509","10.378","10.91","30.895"
"1514576408.1562634","39.782626257","-84.082980938","309.509","10.378","10.91","30.895"
"1514576409.1592977","39.782626851","-84.082992549","309.43","10.378","10.91","30.895"
"1514576410.1625524","39.782626256","-84.083002956","307.946","2.594","2.727","7.724"
"1514576411.1655161","39.782626256","-84.083002956","307.946","2.594","2.727","7.724"
"1514576412.168438","39.782626256","-84.083002956","307.946","2.594","2.727","7.724"
"1514576413.1714833","39.782626256","-84.083002956","307.946","2.594","2.727","7.724"
"1514576414.1743693","39.782626256","-84.083002956","307.946","2.594","2.727","7.724"
"1514576415.1775727","39.782620524","-84.08300416","308.711","2.594","2.727","7.724"
