"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514577359.739617","39.782627063","-84.082999769","317.215","10.378","10.91","30.895"
"1514577360.7425418","39.782627063","-84.082999769","317.215","10.378","10.91","30.895"
"1514577361.7453923","39.782620736","-84.08301138","316.496","10.378","10.91","30.895"
"1514577352.719121","39.782658481","-84.083066605","303.649","2.594","2.727","7.724"
"1514577353.7221472","39.782645451","-84.082931307","321.015","10.378","10.91","30.895"
"1514577354.7250528","39.782641501","-84.082967343","321.541","10.378","10.91","30.895"
"1514577355.7280228","39.782635174","-84.082978954","320.822","10.378","10.91","30.895"
"1514577356.7309117","39.782634579","-84.082989361","319.339","10.378","10.91","30.895"
"1514577357.7338095","39.782634579","-84.082989361","319.339","10.378","10.91","30.895"
"1514577358.736708","39.782621331","-84.083000972","317.98","10.378","10.91","30.895"
