"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514577376.2511075","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577367.2331808","39.782606299","-84.083021787","313.733","10.378","10.91","30.895"
"1514577368.235438","39.782612031","-84.083020584","312.969","10.378","10.91","30.895"
"1514577369.2374494","39.782612031","-84.083020584","312.969","10.378","10.91","30.895"
"1514577370.2393818","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577371.2413836","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577372.2432988","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577373.2452924","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577374.2471726","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
"1514577375.2491403","39.782601543","-84.083038992","306.553","2.594","2.727","7.724"
