test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,00,10,0.0,1514576170.886207,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-61,1,67.40466046885183,61.11268727126885,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,7.943282347242822e-07
capture-1,00,10,0.0,1514576171.807812,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-61,1,100.584715727585,94.29274253000203,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,7.943282347242822e-07
capture-1,00,10,0.0,1514576173.344352,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-55,1,155.90395796792183,149.61198477033884,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576174.770709,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-49,1,207.2563396160787,200.9643664184957,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576174.879836,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-49,1,211.1851831840977,204.8932099865147,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576174.978138,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-47,1,214.72429431477104,208.43232111718805,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576175.593373,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-45,1,236.87427953895642,230.58230634137342,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,00,10,0.0,1514576175.692315,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-47,1,240.4364377931051,234.14446459552212,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576175.899753,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-49,1,247.90471867082616,241.61274547324317,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576176.108727,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-45,1,255.4282954775707,249.13632227998772,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,00,10,0.0,1514576176.206959,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-47,1,258.9648915962596,252.6729183986766,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576176.415842,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-49,1,266.48519802905844,260.19322483147545,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576176.613924,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-51,1,273.61663897403537,267.3246657764524,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,7.943282347242822e-06
capture-1,00,10,0.0,1514576176.920147,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-57,1,284.6414214748547,278.34944827727173,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576177.228334,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-53,1,295.736916155633,289.44494295805004,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576177.742961,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-59,1,314.2647605190233,307.9727873214403,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576178.566845,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-53,1,343.9266230232132,337.6346498256302,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576178.873467,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-57,1,354.96577456861274,348.67380137102975,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576180.507781,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-59,1,53.80512371937181,47.51315052178882,39.782614196999994,-84.08301576999999,307.9920000000001,0.0,0.0,0.0,1.2589254117941661e-06
