test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,00,10,0.0,1514576245.826909,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-67,5,179.61276004752187,173.32083119409,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,1.9952623149688787e-07
capture-1,00,10,0.0,1514576245.929277,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-63,5,183.29824731444842,177.00631846101655,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,5.011872336272725e-07
capture-1,00,10,0.0,1514576246.031669,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-61,5,186.9846015286455,180.69267267521363,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,7.943282347242822e-07
capture-1,00,10,0.0,1514576246.134212,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-59,5,190.67639776828315,184.38446891485128,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576246.441272,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-59,5,201.7312887636123,195.43935991018043,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576246.646096,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-59,5,209.1054392429118,202.81351038947994,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576246.850952,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-63,5,216.48073992948113,210.18881107604926,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,5.011872336272725e-07
capture-1,00,10,0.0,1514576247.467062,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-69,5,238.66216953268324,232.37024067925137,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,1.2589254117941662e-07
capture-1,00,10,0.0,1514576248.079693,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-61,5,260.71834671438785,254.42641786095598,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,7.943282347242822e-07
capture-1,00,10,0.0,1514576248.182075,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-61,5,264.4043404158586,258.1124115624267,39.7826237688,-84.0830784076,295.4629,0.0,0.0,0.0,7.943282347242822e-07
