test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,00,10,0.0,1514576289.784953,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-51,8,160.0,153.70804791530193,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,7.943282347242822e-06
capture-1,00,10,0.0,1514576289.886583,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-51,8,162.72245358761566,156.4305015029176,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,7.943282347242822e-06
capture-1,00,10,0.0,1514576289.988922,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,166.40691224946175,160.1149601647637,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.09132,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,170.09349107524716,163.8015389905491,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.193722,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,173.780215823247,167.48826373854894,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.500919,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,184.84007247183862,178.54812038714056,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576290.60332,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,188.5267543015401,182.23480221684204,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.705731,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,192.21380522860753,185.92185314390946,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.808121,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,195.90010079362372,189.60814870892565,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576290.910557,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,199.58805300495686,193.2961009202588,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576291.115321,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,206.96006044613142,200.66810836143335,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576291.217722,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,210.64675085949256,204.3547987747945,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576291.320151,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,214.33445414469517,208.0425020599971,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576291.422541,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,218.0207411260517,211.72878904135362,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576291.524927,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,221.7068907688534,215.41493868415535,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576291.627324,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,225.39344384365978,219.1014917589617,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576291.832141,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,232.76735685728187,226.4754047725838,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576291.93454,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,236.45397860136563,230.16202651666757,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576292.036931,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,240.1403085010205,233.84835641632245,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576292.139329,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,243.8268873268059,237.53493524210782,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576292.241731,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,247.51361207480574,241.22165999010767,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576292.344147,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,251.2008432587263,244.90889117402824,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576292.446539,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,254.88720749301987,248.5952554083218,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576292.548934,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,258.5736833148892,252.28173123019113,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576292.856183,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,269.6354112012896,263.3434591165916,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576292.95854,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,273.3205136376112,267.0285615529132,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576293.060933,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,277.00692079020314,270.7149687055051,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576293.163333,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,280.69356828526594,274.4016162005679,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576293.368142,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,288.06719803811876,281.7752459534207,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576293.470532,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,291.7534936031349,285.4615415184369,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576293.572932,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,295.4401496818574,289.14819759715937,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576293.675333,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-59,8,299.12684009521854,292.8348880105205,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576294.084933,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,313.8734558264487,307.5815037417507,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576294.187334,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,317.56014623980985,311.2681941551118,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576294.289751,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,321.24741175836914,314.9554596736711,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576294.392158,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,324.9343167632221,318.6423646785241,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576294.49455,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-51,8,328.6206809975157,322.32872891281767,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,7.943282347242822e-06
capture-1,00,10,0.0,1514576295.006561,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,347.0543476558133,340.76239557111523,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576295.10894,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,350.74023978882485,344.4482877041268,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576295.211342,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-49,8,354.4269731204844,348.13502103578634,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576295.313751,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-45,8,358.1139467946147,351.8219947099167,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,00,10,0.0,1514576295.416142,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-45,8,1.8002766942695985,355.50832460957156,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,00,10,0.0,1514576295.518543,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-49,8,5.486967107630676,359.19501502293264,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576295.620945,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-51,8,9.17369185563058,2.881739770932521,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,7.943282347242822e-06
capture-1,00,10,0.0,1514576295.723353,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,12.860631195122266,6.568679110424208,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576295.82576,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,16.54753619997524,10.255584115277182,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576295.928146,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,20.233685842776936,13.941733758078877,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576296.132944,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,27.606929330944467,21.314977246246407,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.235374,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,31.29465836712609,25.00270628242803,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.337742,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,34.98016423545232,28.68821215075426,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.440145,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-45,8,38.66692331809088,32.37497123339282,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,00,10,0.0,1514576296.542544,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,42.353536478515025,36.061584393816965,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.644963,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,46.0408792500113,39.74892716531324,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.747356,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-47,8,49.72727781894355,43.43532573424549,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,00,10,0.0,1514576296.849765,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-53,8,53.414260076733626,47.122307992035566,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,5.011872336272725e-06
capture-1,00,10,0.0,1514576296.95217,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,57.101087828649554,50.809135743951494,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576297.054547,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,60.786919876043385,54.494967791345324,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,3.162277660168379e-06
capture-1,00,10,0.0,1514576297.259367,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-49,8,68.16094447724117,61.86899239254311,39.782628716999994,-84.083047985,299.8045,0.0,0.0,0.0,1.2589254117941661e-05
