test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,focused,mw
capture-1,00,10,0.0,1514576305.744344,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-63,9,179.0,172.70804205986076,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,5.011872336272725e-07
capture-1,00,10,0.0,1514576305.949152,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-65,9,184.74638233326468,178.45442439312544,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-07
capture-1,00,10,0.0,1514576306.153946,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-65,9,192.11947113975785,185.8275131996186,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-07
capture-1,00,10,0.0,1514576306.256346,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-65,9,195.80612713057752,189.51416919043828,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-07
capture-1,00,10,0.0,1514576306.461172,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-65,9,203.180374731099,196.88841679095975,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-07
capture-1,00,10,0.0,1514576306.665949,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-63,9,210.55285409776988,204.26089615763064,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,5.011872336272725e-07
capture-1,00,10,0.0,1514576306.870786,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-61,9,217.9274879629674,211.63553002282816,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,7.943282347242822e-07
capture-1,00,10,0.0,1514576306.973172,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-59,9,221.61363751787846,215.32167957773922,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576307.792372,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-57,9,251.10686827711697,244.81491033697773,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576308.099572,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-57,9,262.16682766591657,255.87486972577733,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576308.304388,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-57,9,269.5407147527403,263.2487568126011,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.9952623149688787e-06
capture-1,00,10,0.0,1514576308.509183,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-59,9,276.91383789387135,270.6218799537321,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.2589254117941661e-06
capture-1,00,10,0.0,1514576308.61155,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-55,9,280.59930933968434,274.3073513995451,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-06
capture-1,00,10,0.0,1514576308.713953,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-55,9,284.2860683344177,277.99411039427844,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,3.162277660168379e-06
capture-1,00,10,0.0,1514576308.816366,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-53,9,287.97318784284863,281.6812299027094,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,5.011872336272725e-06
capture-1,00,10,0.0,1514576308.918772,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-51,9,291.66005842515506,285.3681004850158,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,7.943282347242822e-06
capture-1,00,10,0.0,1514576309.021172,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-51,9,295.3467144159747,289.05475647583546,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,7.943282347242822e-06
capture-1,00,10,0.0,1514576309.123858,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-49,9,299.0436622144974,292.75170427435813,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,1.2589254117941661e-05
capture-1,00,10,0.0,1514576309.225993,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-51,9,302.72077317598786,296.4288152358486,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,7.943282347242822e-06
capture-1,00,10,0.0,1514576309.328366,60:38:e0:06:3a:f0,RESEARCH_MULLINS_9,WPA,CCMP,,-51,9,306.4064592132876,300.11450127314833,39.78265585749999,-84.08304653469999,296.9664,0.0,0.0,0.0,60:38:e0:06:3a:f0,7.943282347242822e-06
