test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,focused,mw
capture-1,02,10,0.0,1514576561.847173,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-55,2,19.03683720994111,12.744851835722113,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,3.162277660168379e-06
capture-1,02,10,0.0,1514576562.358983,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-55,2,37.46327047923795,31.171285105018953,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,3.162277660168379e-06
capture-1,02,10,0.0,1514576562.666397,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-53,2,48.530939841484106,42.23895446726511,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,5.011872336272725e-06
capture-1,02,10,0.0,1514576563.072076,00:18:e7:e9:04:59,RESEARCH_MULLINS_1,WPA,CCMP+TKIP,,-61,1,63.13639079519679,56.84440542097779,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,7.943282347242822e-07
capture-1,02,10,0.0,1514576563.1793,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-53,2,66.99672061235265,60.70473523813365,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,5.011872336272725e-06
capture-1,02,10,0.0,1514576563.382989,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-53,2,74.33002538116997,68.03804000695098,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,5.011872336272725e-06
capture-1,02,10,0.0,1514576563.485384,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-57,2,78.01650173043028,71.72451635621128,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,1.9952623149688787e-06
capture-1,02,10,0.0,1514576563.690183,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-55,2,85.38977202440421,79.09778665018521,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,3.162277660168379e-06
capture-1,02,10,0.0,1514576563.725583,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-47,3,86.66426541137302,80.37228003715403,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,1.9952623149688786e-05
capture-1,02,10,0.0,1514576564.099798,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-51,2,100.13693063593696,93.84494526171797,39.78268049,-84.0830151201,308.37199999999996,0.0,0.0,0.0,00:18:e7:e9:07:f5,7.943282347242822e-06
