test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,focused,mw
capture-1,04,10,0.0,1514576984.259645,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-49,7,179.0,172.70795209147892,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.2589254117941661e-05
capture-1,04,10,0.0,1514576984.360313,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-53,7,181.19768484851375,174.90563693999266,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,5.011872336272725e-06
capture-1,04,10,0.0,1514576984.462688,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-51,7,184.88335642126697,178.59130851274588,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,7.943282347242822e-06
capture-1,04,10,0.0,1514576984.667459,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-51,7,192.25545491176914,185.96340700324805,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,7.943282347242822e-06
capture-1,04,10,0.0,1514576984.76991,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,195.94386461013184,189.65181670161076,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.9952623149688786e-05
capture-1,04,10,0.0,1514576984.872288,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,199.62963918447537,193.33759127595428,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.9952623149688786e-05
capture-1,04,10,0.0,1514576984.974659,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,203.31516483830896,197.02311692978788,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.9952623149688786e-05
capture-1,04,10,0.0,1514576985.18529,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-55,8,210.89823633619528,204.6061884276742,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,3.162277660168379e-06
capture-1,04,10,0.0,1514576985.281872,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-47,7,214.37534685547112,208.08329894695004,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.9952623149688786e-05
capture-1,04,10,0.0,1514576985.486683,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-49,7,221.748878784772,215.4568308762509,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.2589254117941661e-05
capture-1,04,10,0.0,1514576985.691469,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-51,7,229.12151803362335,222.82947012510226,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,7.943282347242822e-06
capture-1,04,10,0.0,1514576985.896309,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-51,7,236.49609714575917,230.20404923723808,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,7.943282347242822e-06
capture-1,04,10,0.0,1514576985.998705,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-49,7,240.1825240635081,233.89047615498703,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.2589254117941661e-05
capture-1,04,10,0.0,1514576986.101352,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-49,7,243.8779893708081,237.58594146228702,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.2589254117941661e-05
capture-1,04,10,0.0,1514576986.209279,60:38:e0:06:34:ac,RESEARCH_MULLINS_8,WPA,CCMP,,-57,8,247.7635441130538,241.4714962045327,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.9952623149688787e-06
capture-1,04,10,0.0,1514576986.305896,60:38:e0:06:34:e8,RESEARCH_MULLINS_7,WPA,CCMP,,-49,7,251.24191640181112,244.94986849329004,39.78266400500001,-84.08292607099999,304.47499999999997,0.0,0.0,0.0,60:38:e0:06:34:e8,1.2589254117941661e-05
