test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,05,10,0.0,1514577116.58413,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,348.42681170987845,342.13481162965087,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-07
capture-1,05,10,0.0,1514577117.096102,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,6.859074163906712,0.5670740836791568,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577117.199318,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,10.57510423485661,4.283104154629055,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577117.300636,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,14.222808361773673,7.930808281546118,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577117.403036,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,17.909465143718535,11.617465063490979,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577117.915076,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,36.344173941220276,30.05217386099272,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577118.020384,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-51,4,40.13552564017124,33.843525559943686,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,7.943282347242822e-06
capture-1,05,10,0.0,1514577118.119854,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,43.7166892246081,37.42468914438055,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577118.222502,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,47.412273014315986,41.12027293408843,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-06
capture-1,05,10,0.0,1514577118.324652,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-71,4,51.089925535545945,44.79792545531839,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,7.943282347242822e-08
capture-1,05,10,0.0,1514577118.939069,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-55,4,73.21046708350673,66.91846700327918,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,3.162277660168379e-06
capture-1,05,10,0.0,1514577119.553495,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,95.33132622693603,89.03932614670848,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,7.943282347242822e-07
capture-1,05,10,0.0,1514577119.75862,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-55,4,102.71633932119215,96.4243392409646,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,3.162277660168379e-06
capture-1,05,10,0.0,1514577120.372709,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,124.82506975118946,118.53306967096191,39.782649779,-84.08298773499999,306.37199999999996,0.0,0.0,0.0,5.011872336272725e-07
