test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,focused,mw
capture-1,06,10,0.0,1514577292.407327,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-59,4,223.0493175644178,216.75737323626535,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,1.2589254117941661e-06
capture-1,06,10,0.0,1514577292.575076,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-57,2,229.08870383364638,222.79675950549392,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,1.9952623149688787e-06
capture-1,06,10,0.0,1514577292.612119,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,230.42233858062832,224.13039425247587,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577292.714522,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,234.10909801488782,227.81715368673537,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-07
capture-1,06,10,0.0,1514577293.22653,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,252.54266342735215,246.2507190991997,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577293.431336,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,259.9161822958712,253.62423796771873,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-07
capture-1,06,10,0.0,1514577293.533755,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,263.60352541904416,257.3115810908917,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-07
capture-1,06,10,0.0,1514577294.04574,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-65,4,282.03624963278025,275.7443053046278,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,3.162277660168379e-07
capture-1,06,10,0.0,1514577294.112104,00:18:e7:e9:07:f5,RESEARCH_MULLINS_2,WPA,CCMP+TKIP,,-61,2,284.42552011438966,278.1335757862372,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577294.14855,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-65,4,285.73766995916014,279.4457256310077,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,3.162277660168379e-07
capture-1,06,10,0.0,1514577294.352945,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-67,4,293.0963991806515,286.804454852499,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,1.9952623149688787e-07
capture-1,06,10,0.0,1514577294.864954,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,311.52999034409726,305.2380460159448,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-07
capture-1,06,10,0.0,1514577294.918898,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-59,5,313.47211219969677,307.1801678715443,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,1.2589254117941661e-06
capture-1,06,10,0.0,1514577294.967548,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,315.22362529041084,308.9316809622584,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577295.021298,60:38:e0:06:2d:9c,RESEARCH_MULLINS_5,WPA,CCMP,,-55,5,317.1587600463699,310.8668157182174,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,3.162277660168379e-06
capture-1,06,10,0.0,1514577295.070652,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-63,4,318.93562927017734,312.6436849420249,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-07
capture-1,06,10,0.0,1514577295.076322,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-65,3,319.13976588399817,312.8478215558457,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,3.162277660168379e-07
capture-1,06,10,0.0,1514577295.172613,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,322.6064745978847,316.31453026973224,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577295.684166,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-65,4,341.02365380246977,334.7317094743173,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,3.162277660168379e-07
capture-1,06,10,0.0,1514577295.991372,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-61,4,352.08383768498294,345.7918933568305,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-07
capture-1,06,10,0.0,1514577296.503384,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,10.51754043601511,4.225596107862647,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-06
capture-1,06,10,0.0,1514577296.605822,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,14.205561668366954,7.913617340214491,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-06
capture-1,06,10,0.0,1514577296.708379,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,17.89786614730434,11.605921819151877,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-06
capture-1,06,10,0.0,1514577296.810583,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-53,4,21.577466808713552,15.285522480561088,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,5.011872336272725e-06
capture-1,06,10,0.0,1514577297.32262,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-51,4,40.01206226043689,33.72011793228443,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-06
capture-1,06,10,0.0,1514577297.424993,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-51,4,43.69774873713493,37.40580440898247,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-06
capture-1,06,10,0.0,1514577297.527405,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-51,4,47.38483435049318,41.09289002234072,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-06
capture-1,06,10,0.0,1514577297.629795,00:16:b6:58:f3:0d,RESEARCH_MULLINS_4,WPA,TKIP,,-51,4,51.07113026708612,44.77918593893366,39.782657292,-84.083065401,302.24499999999995,0.0,0.0,0.0,00:16:b6:58:f3:0d,7.943282347242822e-06
