test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,06,10,0.0,1514577323.209176,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-61,6,282.56500083416523,276.27305584068785,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,7.943282347242822e-07
capture-1,06,10,0.0,1514577323.516375,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-57,6,293.6249319535983,287.33298696012093,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,06,10,0.0,1514577324.644233,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-51,6,334.230633447473,327.9386884539956,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,7.943282347242822e-06
capture-1,06,10,0.0,1514577324.950642,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-45,6,345.26212688749115,338.97018189401376,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,06,10,0.0,1514577325.052387,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-49,6,348.9251969909202,342.6332519974428,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,06,10,0.0,1514577325.154796,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-47,6,352.6121725990794,346.320227605602,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,06,10,0.0,1514577325.564384,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-47,6,7.358366882545056,1.0664218890676889,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.9952623149688786e-05
capture-1,06,10,0.0,1514577325.666772,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-45,6,11.044587128256694,4.752642134779327,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,06,10,0.0,1514577325.974008,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-45,6,22.105857299301192,15.813912305823825,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,3.1622776601683795e-05
capture-1,06,10,0.0,1514577326.281178,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-49,6,33.164741211704836,26.87279621822747,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.2589254117941661e-05
capture-1,06,10,0.0,1514577326.383573,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-51,6,36.851218967341765,30.5592739738644,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,7.943282347242822e-06
capture-1,06,10,0.0,1514577326.486648,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-55,6,40.56217733320864,34.27023233973127,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,3.162277660168379e-06
capture-1,06,10,0.0,1514577326.794715,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-59,6,51.65335299024218,45.36140799676482,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,06,10,0.0,1514577327.612374,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-55,6,81.09112370202183,74.79917870854446,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,3.162277660168379e-06
capture-1,06,10,0.0,1514577328.431573,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-63,6,110.5843277170498,104.29238272357243,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,5.011872336272725e-07
capture-1,06,10,0.0,1514577330.481183,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-63,6,184.37541053460222,178.08346554112487,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,5.011872336272725e-07
capture-1,06,10,0.0,1514577331.503599,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-59,6,221.1849350446712,214.89299005119383,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,06,10,0.0,1514577331.810786,60:38:e0:06:3a:d8,RESEARCH_MULLINS_6,WPA,CCMP,,-57,6,232.24443698089544,225.95249198741809,39.78266156349999,-84.0830655214,302.7694,0.0,0.0,0.0,1.9952623149688787e-06
