test,pass,duration,hop-rate,timestamp,bssid,ssid,encryption,cipher,auth,ssi,channel,bearing_magnetic,bearing_true,lat,lon,alt,lat_err,lon_error,alt_error,mw
capture-1,07,10,0.0,1514577454.108779,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-65,3,249.0775233278851,242.78559449349694,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,3.162277660168379e-07
capture-1,07,10,0.0,1514577454.213321,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-63,3,252.84129527433737,246.5493664399492,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,5.011872336272725e-07
capture-1,07,10,0.0,1514577454.308227,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,256.2581500066166,249.96622117222842,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577454.513043,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,263.6320292130572,257.34010037866904,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577454.615432,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,267.3182907071148,261.0263618727266,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577454.717831,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-57,3,271.0049041312442,264.71297529685603,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,07,10,0.0,1514577454.923012,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,278.391933505245,272.10000467085683,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577455.026771,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-57,3,282.1275167113136,275.83558787692544,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,07,10,0.0,1514577455.127441,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-57,3,285.75188143103924,279.4599525966511,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.9952623149688787e-06
capture-1,07,10,0.0,1514577455.231884,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-55,3,289.51209115847223,283.2201623240841,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,3.162277660168379e-06
capture-1,07,10,0.0,1514577455.334217,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,293.1963354923623,286.90440665797416,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577455.53742,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-61,3,300.5121462369591,294.22021740257094,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,7.943282347242822e-07
capture-1,07,10,0.0,1514577455.641999,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-65,3,304.2772486507559,297.98531981636773,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,3.162277660168379e-07
capture-1,07,10,0.0,1514577455.946683,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-61,3,315.2466257273758,308.9546968929876,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,7.943282347242822e-07
capture-1,07,10,0.0,1514577456.151476,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-63,3,322.6196809024288,316.32775206804064,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,5.011872336272725e-07
capture-1,07,10,0.0,1514577456.254322,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-59,3,326.32239727325725,320.0304684388691,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,1.2589254117941661e-06
capture-1,07,10,0.0,1514577456.356737,00:12:17:9f:79:b6,RESEARCH_MULLINS_3,WPA,TKIP,,-55,3,330.0095858026259,323.71765696823775,39.782637543499995,-84.0830817412,302.847,0.0,0.0,0.0,3.162277660168379e-06
