"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514577795.3431077","39.782629014","-84.08305379","299.765","2.594","2.727","7.724"
"1514577796.3456414","39.782595808","-84.083128269","301.067","10.378","10.91","30.895"
"1514577797.34868","39.782595808","-84.083128269","301.067","10.378","10.91","30.895"
"1514577798.351802","39.782595808","-84.083128269","301.067","10.378","10.91","30.895"
"1514577799.3547647","39.78260154","-84.083127065","300.303","10.378","10.91","30.895"
"1514577800.3577402","39.782607272","-84.083125862","299.538","10.378","10.91","30.895"
"1514577801.360701","39.782607272","-84.083125862","299.538","10.378","10.91","30.895"
"1514577802.3650286","39.78263415","-84.083107031","294.391","2.594","2.727","7.724"
"1514577803.368171","39.78263415","-84.083107031","294.391","2.594","2.727","7.724"
"1514577804.3713834","39.78263415","-84.083107031","294.391","2.594","2.727","7.724"
