Month,wardriving: (Worldwide)
2004-01,86
2004-02,77
2004-03,79
2004-04,93
2004-05,87
2004-06,100
2004-07,87
2004-08,100
2004-09,84
2004-10,79
2004-11,81
2004-12,90
2005-01,85
2005-02,76
2005-03,77
2005-04,81
2005-05,72
2005-06,75
2005-07,66
2005-08,77
2005-09,57
2005-10,56
2005-11,53
2005-12,52
2006-01,58
2006-02,57
2006-03,51
2006-04,43
2006-05,45
2006-06,42
2006-07,42
2006-08,45
2006-09,45
2006-10,40
2006-11,36
2006-12,38
2007-01,37
2007-02,36
2007-03,35
2007-04,34
2007-05,31
2007-06,33
2007-07,31
2007-08,27
2007-09,29
2007-10,26
2007-11,26
2007-12,28
2008-01,25
2008-02,24
2008-03,23
2008-04,21
2008-05,19
2008-06,17
2008-07,19
2008-08,24
2008-09,17
2008-10,17
2008-11,16
2008-12,16
2009-01,17
2009-02,14
2009-03,14
2009-04,13
2009-05,12
2009-06,9
2009-07,11
2009-08,12
2009-09,11
2009-10,10
2009-11,11
2009-12,12
2010-01,13
2010-02,12
2010-03,11
2010-04,10
2010-05,8
2010-06,8
2010-07,8
2010-08,9
2010-09,7
2010-10,7
2010-11,7
2010-12,7
2011-01,6
2011-02,7
2011-03,6
2011-04,6
2011-05,6
2011-06,6
2011-07,6
2011-08,4
2011-09,5
2011-10,5
2011-11,5
2011-12,4
2012-01,5
2012-02,5
2012-03,4
2012-04,4
2012-05,4
2012-06,4
2012-07,4
2012-08,3
2012-09,4
2012-10,3
2012-11,4
2012-12,4
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,4
2013-07,3
2013-08,4
2013-09,4
2013-10,3
2013-11,4
2013-12,3
2014-01,3
2014-02,3
2014-03,3
2014-04,3
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,2
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,1
2016-02,2
2016-03,1
2016-04,2
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
