"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1510854719.5622349","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854720.5650263","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854721.5684474","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854722.571626","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854723.5745406","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854724.577699","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854695.4771392","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854696.481292","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854697.486338","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854698.4895897","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854699.4924462","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854700.4956589","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854701.4989817","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854702.5023074","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854703.5048695","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854704.5082784","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854705.5116131","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854706.5168388","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854707.519964","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854708.5227103","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854709.5258048","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854710.529146","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854711.5374372","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854712.5406373","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854713.5437818","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854714.5461469","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854715.54937","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854716.5524912","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854717.5555542","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
"1510854718.558693","39.782585534","-84.083087842","307.125","3.1","2.119","7.474"
